"city","medianAskingPricePerM2","postalCode","price","pricePerM2","rooms","source","surface","type","url"
"Bordeaux","4461","33800","170000","3649","2","bienici.com","47","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/2pieces/century-21-202_675_28832"
"Bordeaux","4461","33000","100000","5263","1","bienici.com","19","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/1piece/netty-nicolasimmo-appt-2607"
"Bordeaux","4461","33300","470000","4451","4","bienici.com","103","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/4pieces/immo-facile-60587888"
"Bordeaux","4461","33000","136370","4891","1","bienici.com","27","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/1piece/immo-facile-57473578"
"Bordeaux","4461","33000","399500","4471","3","bienici.com","85","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/3pieces/immo-facile-60603123"
"Bordeaux","4461","33000","252000","3529","3","bienici.com","68","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/3pieces/immo-facile-60487361"
"Bordeaux","4461","33000","390000","6066","3","bienici.com","61","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/3pieces/immo-facile-60655260"
"Bordeaux","4461","33300","199990","3333","2","bienici.com","57","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/2pieces/immo-facile-60175776"
"Bordeaux","4461","33000","445000","3675","4","bienici.com","117","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/4pieces/immo-facile-59803697"
"Bordeaux","4461","33800","129000","5125","2","bienici.com","24","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/2pieces/immo-facile-57473067"
"Bordeaux","4461","33300","195000","3558","2","bienici.com","52","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/2pieces/immo-facile-60896735"
"Bordeaux","4461","33000","349000","5236","3","bienici.com","64","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/3pieces/immo-facile-60761530"
"Bordeaux","4461","33000","157000","4545","2","bienici.com","33","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/2pieces/immo-facile-57965107"
"Bordeaux","4461","33000","192000","5606","1","bienici.com","33","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/1piece/immo-facile-57473045"
"Bordeaux","4461","33300","228000","3800","2","bienici.com","60","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/2pieces/ag757613-542617895"
"Bordeaux","4461","33300","310000","5254","3","bienici.com","59","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/3pieces/ag757613-541061168"
"Bordeaux","4461","33800","270000",,"4","bienici.com",,"appartement","https://www.bienici.com/annonce/vente/bordeaux/programme/3,4piece/mgc-214115003"
"Bordeaux","4461","33800","304000",,"4","bienici.com",,"maison","https://www.bienici.com/annonce/vente/bordeaux/programme/4pieces/mgc-248076141"
"Bordeaux","4461","33000","494000",,"4","bienici.com",,"appartement","https://www.bienici.com/annonce/vente/bordeaux/programme/1,4piece/marignan-565"
"Bordeaux","4461","33000","999000",,"5","bienici.com",,"appartement","https://www.bienici.com/annonce/vente/bordeaux/programme/2,5piece/marignan-135"
"Bordeaux","4461","33200","735902","4748","5","bienici.com","155","Maison","https://www.bienici.com/annonce/vente/bordeaux/maison/5pieces/ag757613-542736110"
"Bordeaux","4461","33800","465000","3444","5","bienici.com","135","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/5pieces/ag754248-542384246"
"Bordeaux","4461","33200","124000","3738","1","bienici.com","31","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/1piece/netty-nicolasimmo-appt-2636"
"Bordeaux","4461","33300","243000","3307","3","bienici.com","70","Appartement","https://www.bienici.com/annonce/vente/bordeaux/appartement/3pieces/netty-cottignies-appt-2416"
"Bordeaux","4461","33800","559000","3993","6","bienici.com","140","Maison","https://www.bienici.com/annonce/vente/bordeaux/maison/6pieces/laforet-immo-facile-52833012"
"Bordeaux","4461","33800","585000","4570","5","bienici.com","128","Maison","https://www.bienici.com/annonce/vente/bordeaux/maison/5pieces/netty-company36877pod-house-5310"
